id,name,image_url,meal_type,cuisine,tags,servings,is_public,ingredient_count,instruction_count,nutrition_per_serving,admin_notes,created_at,updated_at
d6c72776-68f4-496e-8622-915bb9780cd3,🍔 بيج ماك,docs/datasets/images/🍔 بيج ماك.webp,lunch,egyptian,,1,true,11,1,"{""fat_g"":18.8,""carbs_g"":40.7,""calories"":499,""protein_g"":43.1}",,2025-11-28T10:54:22.237246+00:00,2025-11-28T10:55:17.702203+00:00
d5233fcf-4a52-4df2-be7a-7d520e314b80,🍔 ماك تشيكن,,lunch,egyptian,,1,true,11,2,"{""fat_g"":7.8,""carbs_g"":16.6,""calories"":249,""protein_g"":26.5}","Missing ingredients: خبز برجر سمسم 🍞, خس مقطع شرايح رفيعة 🥬",2025-11-28T10:54:22.237246+00:00,2025-11-28T10:55:17.702203+00:00
f78a21c6-c5eb-4484-968a-420c58e024b9,🍕 بيتزا رانش فراخ,docs/datasets/images/🍕 بيتزا رانش فراخ_.webp,lunch,egyptian,,1,true,11,1,"{""fat_g"":22.4,""carbs_g"":41,""calories"":577,""protein_g"":51.6}",,2025-11-28T10:54:22.237246+00:00,2025-11-28T10:55:17.702203+00:00
6a38aa00-ae63-4bfd-b334-549d8102d532,🍕 تورتيلا بيتزا,docs/datasets/images/🍕 تورتيلا بيتزا_.jpg,lunch,egyptian,,1,true,9,1,"{""fat_g"":12.4,""carbs_g"":35,""calories"":447,""protein_g"":48}",,2025-11-28T10:54:21.855621+00:00,2025-11-28T10:55:17.152813+00:00
549c8bfc-4798-41b9-94ef-2f2d27a7672a,🍞 بيتزا توست,,lunch,egyptian,,1,true,9,1,"{""fat_g"":17.5,""carbs_g"":72.3,""calories"":649,""protein_g"":48.7}",,2025-11-28T10:54:22.237246+00:00,2025-11-28T10:55:17.702203+00:00
b700c091-094b-4902-b1fb-c28810a34ea7,🔥 فراخ مشوية مع كوسه,,lunch,egyptian,,1,true,7,1,"{""fat_g"":11.5,""carbs_g"":1.4,""calories"":258,""protein_g"":34.7}","Missing ingredients: الكوسة, بهارات فراخ",2025-11-28T10:54:22.237246+00:00,2025-11-28T10:55:17.702203+00:00
bf82618d-953e-4a94-bbb1-a10d5a79582a,🥔 بطاطا باللحمة والبيض,docs/datasets/images/🥔 بطاطا باللحمة والبيض_.webp,lunch,egyptian,,1,true,8,1,"{""fat_g"":19.8,""carbs_g"":31.8,""calories"":453,""protein_g"":36.6}",,2025-11-28T10:54:22.237246+00:00,2025-11-28T10:55:17.702203+00:00
1cc9494a-493e-49da-a100-99e255bd9455,🦐 سي فود سلاد بالليمون,docs/datasets/images/🦐 سي فود سلاد بالليمون_.webp,lunch,egyptian,,1,true,11,1,"{""fat_g"":14.5,""carbs_g"":19.2,""calories"":401,""protein_g"":48.2}",,2025-11-28T10:54:22.237246+00:00,2025-11-28T10:55:17.702203+00:00
301d8529-c58a-4585-be04-6d5e0a6c5ae6,Recipe Name,,breakfast,egyptian,,1,true,406,1,"{""fat_g"":0,""carbs_g"":0,""calories"":0,""protein_g"":0}","Missing ingredients: Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient, Ingredient",2025-11-28T10:54:19.756542+00:00,2025-11-28T10:55:15.152625+00:00
75df2dae-4f18-4732-8cc5-c1d39e5a4008,أرز بالدجاج والخضار (One Pot),,one pot,egyptian,,1,true,10,1,"{""fat_g"":15.3,""carbs_g"":146.3,""calories"":1050,""protein_g"":78.8}",,2025-11-28T10:54:23.468291+00:00,2025-11-28T10:55:19.253473+00:00
