Recipe Name,Ingredient,Quantity,Unit,Suggested Food Name
"رايس كيك مع عسل وزبدة فول سوداني","كعك الارز","15","جرام",""
"جبنة قريش بالزيتون والزعتر","الزعتر","1","جرام",""
"ساندوتش البيض الكريمي","بابريكا","2","جرام",""
"بطاطا حلوة مسلوقة بالبيض","ماء للسلق","","جرام",""
"بطاطا حلوة مسلوقة بالبيض","بابريكا","","حسب الرغبة",""
"رايس كيك بالجبنة القريش","كعك الارز","40","جرام",""
"بيض مافن","بكينج بودر","5","جرام",""
"راب البيض المسلوق بالخضار","زبادي لايت","100","جرام",""
"راب البيض المسلوق بالخضار","خل","5","جرام",""
"رايس كيك بالجبنة والبسطرمة","كعك الارز","20","جرام",""
"فطيره خضار","بكينج باودر","5","جرام",""
"ذرة فشار","ذرة فشار (نيئة)","50","جرام",""
"سموزي الأفوكادو","مكعبات ثلج","","حسب الرغبة",""
"سموزي زبدة الفول السوداني بالشوكولاتة","مكعبات ثلج","","حسب الرغبة",""
"سموزي البرتقال والجزر","مكعبات ثلج","","حسب الرغبة",""
"سموزي بالفراولة والشوفان","مكعبات ثلج","","حسب الرغبة",""
"سموزي المانجو وجوز الهند","مكعبات ثلج","","حسب الرغبة",""
"سموزي المانجو وجوز الهند","مكعبات ثلج","","حسب الرغبة",""
"سموزي البطيخ والنعناع","مكعبات ثلج","","حسب الرغبة",""
"سموزي التفاح بالقرفة","مكعبات ثلج","","حسب الرغبة",""
"سموزي الأناناس وجوز الهند","مكعبات ثلج","","حسب الرغبة",""
"سموزي مانجو و التين الشوكي","مكعبات ثلج","","حسب الرغبة",""
"سموزي الكنتالوب والبرتقال","مكعبات ثلج","","حسب الرغبة",""
"سموزي الكنتالوب وجوز الهند","مكعبات ثلج","","حسب الرغبة",""
"سموزي البطيخ والتوت","مكعبات ثلج","","حسب الرغبة",""
"سموزي البطيخ والموز","مكعبات ثلج","","حسب الرغبة",""
"سموزي المشمش","مكعبات ثلج","","حسب الرغبة",""
"سموزي المشمش والموز","مكعبات ثلج","","حسب الرغبة",""
"سموزي الخوخ","مكعبات ثلج","","حسب الرغبة",""
"سموزي التمر واللبن","مكعبات ثلج","","حسب الرغبة",""
"سموزي التمر وزبدة الفول السوداني","مكعبات ثلج","","حسب الرغبة",""
"سموزي بنجر وتفاح whey protein","مكعبات ثلج","","حسب الرغبة",""
"سموزي أناناس ومانجو whey protein","مكعبات ثلج","","حسب الرغبة",""
"سموزي تفاح whey protein","مكعبات ثلج","","حسب الرغبة",""
"سموزي مانجو و زبادي whey protein","مكعبات ثلج","","حسب الرغبة",""
"سموزي التفاح والموز  Whey Protein","مكعبات ثلج","","حسب الرغبة",""
"سموزي الزبادي والموز والتوت Whey Protein","مكعبات ثلج","","حسب الرغبة",""
"سموزي كنتالوب و تمر  وموز (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الشوكولاتة والبرتقال (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي التمر مع الفراوله للتضخيم","مكعبات ثلج","","حسب الرغبة",""
"سموزي الأناناس مع الزبادي اليوناني","مكعبات ثلج","","حسب الرغبة",""
"سموزي الموز مع واي بروتين بالشوكولاتة","مكعبات ثلج","","حسب الرغبة",""
"سموزي التوت والشوفان والزبادي","توت","100","جرام",""
"سموزي التوت والشوفان والزبادي","مكعبات ثلج","","حسب الرغبة",""
"سموزي الشوكولاتة المكثف","مكعبات ثلج","","حسب الرغبة",""
"سموزي المانجو وجوز الهند (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الأفوكادو والموز (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي القهوة بالبروتين (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الجبن القريش والتوت (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي التوت المشكل والأفوكادو (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الفراولة والموز بالشوفان (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي التفاح بالقرفة والشوفان (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي زبدة الفول السوداني مع التوت (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الأناناس والسبانخ (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الكرز والشوكولاتة (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الموز والتمر بالمكسرات (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الخوخ والكريمة","مكعبات ثلج","","حسب الرغبة",""
"سموزي الكيوي والسبانخ والموز","مكعبات ثلج","","حسب الرغبة",""
"سموزي التوت والليمون (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الشوكولاتة والأفوكادو (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي المانجو والموز والبرتقال (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الموز بالمكسرات (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي التوت والفراولة (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي المانجو والأفوكادو والليمون (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الموز والقهوة والكاجو (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الفراولة والجبن القريش (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي البطاطا والموز (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الأناناس والموز (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي أبل باي (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الكرز بالمكسرات (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الموز والعسل(للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الخوخ بالمكسرات (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي التوت الأزرق والموز (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الكيوي والموز والأفوكادو (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الشوكولاتة والموز للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الفراولة والأفوكادو (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي التمر وزبدة الفول السوداني (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي المانجو والزبادي اليوناني (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي الموز والشوكولاتة (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي القرفة وزبدة اللوز (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي التوت والأفوكادو (للتضخيم)","مكعبات ثلج","","حسب الرغبة",""
"سموزي البلح والكاجو","مكعبات ثلج","","حسب الرغبة",""
"ستيك لحمة مع الخضار","لحم احمر ني قليل الدهون","130","جرام",""
"دجاج مشروم وايت صوص","ماء – كمية مناسبة لعمل الصوص","","حسب الرغبة",""
"كبده مشويه مع عيش وسلطه","كبدة بقري( نية )","150","جرام",""
"كبده مشويه مع عيش وسلطه","ليمون","10","جرام",""
"صينية خضار باللحمة","بابريكا","","حسب الرغبة",""
"تشيكن رول بالجبنة","بابريكا","","حسب الرغبة",""
"كبدة بالدبس والطحينة","كبدة دجاج (نيئة)","150","جرام",""
"شاورما لحمة","بهارات شاورما","","حسب الرغبة",""
"شاورما لحمة","سبع بهارات","","حسب الرغبة",""
"مكرونة ريد صوص","بابريكا","","حسب الرغبة",""
"محشي باذنجان بالفراخ","بابريكا","","حسب الرغبة",""
"صدور دجاج مع الخضار والأرز","بابريكا","","حسب الرغبة",""
"مكرونه ريد صوص بالفراخ","بابريكا","","حسب الرغبة",""
"ساندوتش شاورما دجاج","بابريكا","","حسب الرغبة",""
"فاهيتا فراخ لايت","بابريكا","","حسب الرغبة",""
"لحمة بالبصل مع رز بسمتي","بابريكا","","حسب الرغبة",""
"كفتة فراخ في الفرن","بابريكا","","حسب الرغبة",""
"لحم مشوي مع الخضار","بابريكا","","حسب الرغبة",""
"ساندوتش ستريبس بصوص الزبادي والمسترده","بابريكا","","حسب الرغبة",""
"🍔 ماك تشيكن","خبز برجر سمسم 🍞","75","جرام",""
"🍔 ماك تشيكن","خس مقطع شرايح رفيعة 🥬","20","جرام",""
"شاورما دجاج خبز لبناني","بابريكا","","حسب الرغبة",""
"🔥 فراخ مشوية مع كوسه","بهارات فراخ","2","جرام",""
"تشيكن بوب كورن","بابريكا","","حسب الرغبة",""
"لحمة مشوية مع بروكلي سوتيه","بابريكا","","حسب الرغبة",""
"وجبه دجاج تندوري","زبادي","30","جرام",""
"وجبه دجاج تندوري","بهارات تندوري","","حسب الرغبة",""
"لحمه مفرومه مع سلطه زبادي","الكوسة-جزر","150","جرام",""
"لحمه مفرومه مع سلطه زبادي","بابريكا","","حسب الرغبة",""
"ساندويتش سمك فيليه","بابريكا","","حسب الرغبة",""
"شيش طاووك مع تبوله","بابريكا","","حسب الرغبة",""
